[ 2025-07-12 16:38:27,377 ] 1025 httpx -INFO- [HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"]
[ 2025-07-12 16:38:28,096 ] 1025 httpx -INFO- [HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"]
[ 2025-07-12 16:38:28,508 ] 1025 httpx -INFO- [HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"]
[ 2025-07-12 16:38:28,512 ] 107 dagshub -INFO- [Accessing as Devb1234]
[ 2025-07-12 16:38:28,973 ] 1025 httpx -INFO- [HTTP Request: GET https://dagshub.com/api/v1/repos/Devb1234/Network_Security "HTTP/1.1 200 OK"]
[ 2025-07-12 16:38:34,975 ] 1025 httpx -INFO- [HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"]
[ 2025-07-12 16:38:34,977 ] 107 dagshub -INFO- [Initialized MLflow to track repo "Devb1234/Network_Security"]
[ 2025-07-12 16:38:34,978 ] 107 dagshub -INFO- [Repository Devb1234/Network_Security initialized!]
[ 2025-07-12 16:38:34,978 ] 23 root -INFO- [Initiate the data ingestion]
[ 2025-07-12 16:38:37,603 ] 65 root -INFO- [Performed train test split on the dataframe]
[ 2025-07-12 16:38:37,603 ] 67 root -INFO- [Exited split_data_as_train_test method of Data_Ingestion class]
[ 2025-07-12 16:38:37,603 ] 75 root -INFO- [Exporting train and test file path.]
[ 2025-07-12 16:38:37,677 ] 84 root -INFO- [Exported train and test file path.]
[ 2025-07-12 16:38:37,677 ] 25 root -INFO- [Data Initiation Completed]
[ 2025-07-12 16:38:37,683 ] 29 root -INFO- [Initiate the data Validation]
[ 2025-07-12 16:38:37,699 ] 32 root -INFO- [Required number of columns:2]
[ 2025-07-12 16:38:37,699 ] 33 root -INFO- [Data frame has columns:31]
[ 2025-07-12 16:38:37,699 ] 32 root -INFO- [Required number of columns:2]
[ 2025-07-12 16:38:37,699 ] 33 root -INFO- [Data frame has columns:31]
[ 2025-07-12 16:38:37,828 ] 31 root -INFO- [data Validation Completed]
[ 2025-07-12 16:38:37,828 ] 34 root -INFO- [data Transformation started]
[ 2025-07-12 16:38:37,828 ] 63 root -INFO- [Entered initiate_data_transformation method of DataTransformation class]
[ 2025-07-12 16:38:37,828 ] 65 root -INFO- [Starting data transformation]
[ 2025-07-12 16:38:37,845 ] 48 root -INFO- [Entered get_data_trnasformer_object method of Trnasformation class]
[ 2025-07-12 16:38:37,845 ] 53 root -INFO- [Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}]
[ 2025-07-12 16:38:37,852 ] 45 root -INFO- [Entered the save_object method of MainUtils class]
[ 2025-07-12 16:38:37,855 ] 49 root -INFO- [Exited the save_object method of MainUtils class]
[ 2025-07-12 16:38:37,855 ] 45 root -INFO- [Entered the save_object method of MainUtils class]
[ 2025-07-12 16:38:37,863 ] 49 root -INFO- [Exited the save_object method of MainUtils class]
[ 2025-07-12 16:38:37,863 ] 38 root -INFO- [data Transformation completed]
[ 2025-07-12 16:38:37,863 ] 39 root -INFO- [Model Training sstared]
[ 2025-07-12 16:42:36,337 ] 45 root -INFO- [Entered the save_object method of MainUtils class]
[ 2025-07-12 16:42:36,337 ] 49 root -INFO- [Exited the save_object method of MainUtils class]
[ 2025-07-12 16:42:36,337 ] 45 root -INFO- [Entered the save_object method of MainUtils class]
[ 2025-07-12 16:42:36,358 ] 49 root -INFO- [Exited the save_object method of MainUtils class]
[ 2025-07-12 16:42:36,358 ] 128 root -INFO- [Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/07_12_2025_16_38_20/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9924812030075187, precision_score=0.9914738124238733, recall_score=0.9934906427990235), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9731462925851704, precision_score=0.9681020733652312, recall_score=0.9782433521353747))]
[ 2025-07-12 16:42:36,359 ] 44 root -INFO- [Model Training artifact created]
